                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6535,                 1.0025,                 1.1661,                0.55816,                0.35039,                0.43473,                0.21944,                 1.7245,                 1.2837,                 1.2611,             0.00017919,             0.00017919,             0.00017919
                     35,                 1.6396,                0.98653,                 1.1651,                0.47776,                0.35452,                0.43543,                0.22366,                 1.7001,                 1.2456,                 1.2481,             0.00016868,             0.00016868,             0.00016868
                     36,                 1.6396,                0.99815,                 1.1623,                0.62619,                 0.3553,                0.43014,                0.21844,                 1.7275,                 1.2813,                 1.2626,             0.00015817,             0.00015817,             0.00015817
                     37,                 1.6346,                0.98077,                 1.1569,                0.63099,                0.34886,                0.43001,                0.21417,                 1.7344,                 1.2941,                 1.2662,             0.00014766,             0.00014766,             0.00014766
                     38,                  1.635,                0.98083,                 1.1621,                0.48508,                0.38589,                0.43444,                0.22198,                 1.7116,                 1.2439,                 1.2453,             0.00013715,             0.00013715,             0.00013715
                     39,                 1.6335,                0.97713,                 1.1613,                0.53387,                0.35647,                0.44739,                0.22783,                 1.7414,                 1.2398,                 1.2681,             0.00012664,             0.00012664,             0.00012664
                     40,                 1.6328,                0.97327,                 1.1598,                0.54109,                 0.3242,                 0.4276,                0.22085,                 1.6878,                 1.2393,                 1.2455,             0.00011613,             0.00011613,             0.00011613
                     41,                 1.6445,                0.92677,                 1.1674,                0.53443,                0.36295,                0.41528,                0.20735,                 1.6951,                 1.2554,                 1.2422,             0.00010562,             0.00010562,             0.00010562
                     42,                 1.6364,                  0.907,                 1.1602,                0.43969,                0.39056,                0.40175,                0.20234,                 1.7092,                 1.2786,                 1.2609,             9.5111e-05,             9.5111e-05,             9.5111e-05
                     43,                 1.6212,                0.89905,                 1.1539,                 0.5213,                0.34867,                0.41267,                0.21057,                 1.7061,                 1.2792,                 1.2445,             8.4602e-05,             8.4602e-05,             8.4602e-05
                     44,                 1.6158,                 0.8953,                 1.1571,                0.47137,                0.38906,                 0.4205,                0.21453,                 1.7138,                 1.2633,                 1.2594,             7.4092e-05,             7.4092e-05,             7.4092e-05
                     45,                 1.6188,                0.88238,                 1.1531,                0.47901,                0.37989,                0.41495,                0.21207,                 1.7073,                 1.2795,                 1.2517,             6.3583e-05,             6.3583e-05,             6.3583e-05
                     46,                 1.6141,                0.88609,                 1.1513,                0.48611,                0.39016,                0.42354,                0.21563,                 1.7099,                 1.2643,                 1.2506,             5.3073e-05,             5.3073e-05,             5.3073e-05
                     47,                 1.6024,                0.88249,                 1.1491,                0.45744,                 0.4107,                0.42362,                0.21573,                 1.7095,                  1.273,                  1.253,             4.2564e-05,             4.2564e-05,             4.2564e-05
                     48,                 1.6054,                0.87991,                 1.1471,                0.46663,                0.37446,                0.41864,                0.21162,                 1.6991,                 1.2547,                  1.249,             3.2054e-05,             3.2054e-05,             3.2054e-05
                     49,                 1.6068,                0.87424,                   1.15,                0.49704,                0.37785,                0.42248,                0.21524,                 1.7048,                 1.2537,                 1.2479,             2.1545e-05,             2.1545e-05,             2.1545e-05
                     50,                 1.6074,                0.87596,                  1.154,                0.49056,                0.37207,                0.42526,                 0.2153,                 1.7018,                 1.2587,                 1.2478,             1.1035e-05,             1.1035e-05,             1.1035e-05
