                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 3.1435,                 1.4363,                 2.3517,                0.68966,                0.36169,                0.41246,                0.20769,                 3.5707,                 2.4445,                 2.8547,             0.00018231,             0.00018231,             0.00018231
                     35,                  3.118,                 1.4014,                 2.3677,                 0.4728,                0.41425,                0.43785,                0.22532,                 3.5181,                  2.526,                 2.8318,              0.0001719,              0.0001719,              0.0001719
                     36,                 3.1108,                 1.4108,                 2.3544,                0.61156,                0.34816,                0.41028,                0.20312,                 3.6189,                 2.6519,                 2.9113,             0.00016148,             0.00016148,             0.00016148
                     37,                 3.0973,                 1.3664,                  2.333,                0.70104,                0.35319,                0.42099,                0.21348,                 3.5983,                 2.7189,                 2.8972,             0.00015107,             0.00015107,             0.00015107
                     38,                  3.076,                 1.3631,                 2.3426,                0.68895,                0.34838,                0.40565,                0.19812,                  3.592,                 2.5509,                  2.907,             0.00014065,             0.00014065,             0.00014065
                     39,                  3.046,                 1.3256,                 2.3165,                0.59722,                 0.3633,                0.44004,                0.21817,                 3.5122,                 2.4707,                 2.8211,             0.00013024,             0.00013024,             0.00013024
                     40,                 2.9906,                 1.2979,                  2.301,                0.57781,                0.36157,                0.40968,                0.19981,                 3.6002,                 2.5112,                 2.8901,             0.00011982,             0.00011982,             0.00011982
                     41,                 3.0351,                  1.218,                 2.3591,                0.67458,                 0.3741,                0.43999,                0.22443,                 3.5777,                 2.5735,                    2.9,             0.00010941,             0.00010941,             0.00010941
                     42,                  2.995,                 1.2031,                 2.3354,                0.61323,                0.35661,                0.41444,                0.20562,                 3.5475,                 2.6283,                 2.8681,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     43,                 2.9537,                 1.1746,                 2.3344,                0.69541,                 0.3507,                 0.4241,                0.21135,                  3.555,                 2.6285,                 2.8767,             8.8578e-05,             8.8578e-05,             8.8578e-05
                     44,                 2.9486,                  1.166,                 2.3187,                0.61851,                0.33412,                 0.4122,                0.21326,                 3.5627,                 2.5908,                 2.8871,             7.8164e-05,             7.8164e-05,             7.8164e-05
                     45,                  2.917,                 1.1524,                 2.2951,                0.53452,                0.39876,                0.43189,                0.20957,                 3.5636,                 2.5747,                 2.8861,             6.7749e-05,             6.7749e-05,             6.7749e-05
                     46,                 2.8894,                 1.1373,                 2.2867,                0.62045,                0.37216,                0.42081,                0.21404,                 3.5224,                 2.5523,                 2.8561,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     47,                 2.8802,                 1.1307,                 2.2822,                0.68408,                0.37852,                0.44048,                0.21778,                 3.5243,                 2.5725,                 2.8614,             4.6919e-05,             4.6919e-05,             4.6919e-05
                     48,                 2.8418,                 1.0998,                 2.2705,                0.72991,                0.38871,                0.43816,                 0.2149,                 3.5717,                 2.5835,                 2.9021,             3.6504e-05,             3.6504e-05,             3.6504e-05
                     49,                 2.8218,                 1.0927,                 2.2735,                0.72809,                0.36701,                0.42559,                 0.2075,                 3.5695,                 2.5966,                 2.8932,              2.609e-05,              2.609e-05,              2.609e-05
                     50,                 2.8067,                 1.0821,                 2.2559,                0.70831,                0.37494,                0.43003,                0.20807,                 3.5788,                 2.6073,                 2.9001,             1.5675e-05,             1.5675e-05,             1.5675e-05
