                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 3.1388,                 1.4387,                 2.3465,                0.66115,                0.35934,                0.43081,                0.22259,                 3.5506,                 2.5474,                 2.8467,             0.00017919,             0.00017919,             0.00017919
                     35,                 3.1182,                 1.3985,                 2.3635,                 0.6515,                0.38076,                0.44656,                0.22344,                 3.5427,                 2.6033,                 2.8958,             0.00016868,             0.00016868,             0.00016868
                     36,                 3.1137,                 1.4069,                 2.3463,                 0.5648,                0.40836,                0.45698,                0.23311,                 3.6042,                 2.8082,                 2.9022,             0.00015817,             0.00015817,             0.00015817
                     37,                 3.0909,                 1.3733,                 2.3286,                0.57736,                0.40852,                0.47771,                0.24564,                 3.5405,                 2.6055,                 2.8967,             0.00014766,             0.00014766,             0.00014766
                     38,                 3.0744,                 1.3673,                 2.3416,                0.69208,                0.42156,                 0.4713,                0.24449,                   3.55,                 2.6633,                 2.8746,             0.00013715,             0.00013715,             0.00013715
                     39,                 3.0448,                 1.3384,                  2.315,                0.57242,                0.40528,                0.47111,                0.24458,                 3.5269,                  2.681,                 2.8399,             0.00012664,             0.00012664,             0.00012664
                     40,                 2.9887,                 1.2874,                 2.2962,                0.69761,                0.36681,                0.43559,                0.21658,                 3.5312,                 2.5869,                 2.8477,             0.00011613,             0.00011613,             0.00011613
                     41,                  3.025,                  1.213,                 2.3502,                0.60786,                0.40588,                0.43972,                 0.2209,                   3.58,                 2.7628,                 2.8843,             0.00010562,             0.00010562,             0.00010562
                     42,                 2.9941,                 1.1839,                 2.3249,                0.55003,                0.42116,                0.45477,                0.22813,                 3.5127,                 2.6425,                 2.8168,             9.5111e-05,             9.5111e-05,             9.5111e-05
                     43,                 2.9488,                 1.1721,                 2.3334,                0.55029,                0.41056,                0.46282,                0.22967,                 3.5057,                 2.6694,                 2.8498,             8.4602e-05,             8.4602e-05,             8.4602e-05
                     44,                 2.9415,                 1.1566,                 2.3198,                0.65174,                0.37302,                  0.432,                0.21617,                 3.4991,                 2.7572,                 2.8264,             7.4092e-05,             7.4092e-05,             7.4092e-05
                     45,                 2.9083,                 1.1449,                 2.2916,                 0.5789,                  0.387,                0.43381,                0.22133,                 3.4954,                 2.7635,                 2.8357,             6.3583e-05,             6.3583e-05,             6.3583e-05
                     46,                 2.8964,                 1.1427,                   2.29,                0.58336,                0.36023,                0.42633,                0.21761,                 3.5139,                  2.803,                 2.8332,             5.3073e-05,             5.3073e-05,             5.3073e-05
                     47,                 2.8697,                 1.1321,                 2.2837,                0.55901,                0.38984,                 0.4509,                0.22657,                 3.5073,                 2.7237,                 2.8489,             4.2564e-05,             4.2564e-05,             4.2564e-05
                     48,                 2.8422,                 1.1045,                 2.2702,                0.67884,                0.37427,                0.44726,                0.22406,                 3.5044,                 2.8107,                 2.8622,             3.2054e-05,             3.2054e-05,             3.2054e-05
                     49,                 2.8201,                 1.0892,                 2.2746,                0.69265,                0.36408,                 0.4345,                0.22226,                 3.5086,                 2.7826,                 2.8781,             2.1545e-05,             2.1545e-05,             2.1545e-05
                     50,                 2.8133,                 1.0802,                 2.2576,                0.73854,                0.36079,                0.44104,                0.22273,                 3.5261,                 2.8149,                 2.8933,             1.1035e-05,             1.1035e-05,             1.1035e-05
