                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.8017,                 1.1598,                 2.2354,                0.58917,                0.47272,                0.58887,                0.30238,                 3.4108,                 2.4493,                 2.7973,              0.0034066,              0.0034066,              0.0034066
                     35,                 2.7914,                 1.1443,                 2.2118,                0.70365,                0.52328,                 0.5934,                0.31446,                 3.5241,                 2.4091,                 2.8808,              0.0032068,              0.0032068,              0.0032068
                     36,                  2.758,                 1.1469,                 2.2172,                0.64754,                0.48982,                0.58828,                0.31099,                 3.3925,                 2.5684,                 2.8431,               0.003007,               0.003007,               0.003007
                     37,                 2.7266,                 1.1015,                 2.2048,                0.71766,                0.44938,                0.54904,                0.28831,                 3.4485,                 2.6781,                 2.8793,              0.0028072,              0.0028072,              0.0028072
                     38,                 2.7018,                 1.0968,                 2.1886,                0.68929,                0.44178,                0.52578,                0.28261,                 3.4926,                 2.6155,                 2.8746,              0.0026074,              0.0026074,              0.0026074
                     39,                 2.6814,                 1.0877,                 2.1809,                0.69945,                0.44166,                0.56046,                0.30081,                 3.4945,                 2.5425,                 2.8505,              0.0024076,              0.0024076,              0.0024076
                     40,                 2.6461,                 1.0589,                 2.1717,                0.68573,                0.42977,                0.55088,                0.29615,                 3.4523,                  2.671,                 2.8682,              0.0022078,              0.0022078,              0.0022078
                     41,                 2.6614,                0.98801,                 2.2176,                0.70294,                0.42498,                0.54406,                0.29069,                 3.4635,                 2.6731,                   2.85,               0.002008,               0.002008,               0.002008
                     42,                 2.6244,                0.96538,                 2.1917,                   0.64,                0.45509,                0.54225,                0.28677,                 3.5566,                 2.6351,                  2.886,              0.0018082,              0.0018082,              0.0018082
                     43,                 2.5833,                0.94963,                 2.1694,                0.71082,                0.45236,                0.52305,                 0.2775,                 3.5008,                 2.7082,                 2.8766,              0.0016084,              0.0016084,              0.0016084
                     44,                 2.5669,                0.93875,                  2.156,                0.71317,                0.41405,                0.50813,                0.27338,                 3.5141,                 2.9175,                 2.8859,              0.0014086,              0.0014086,              0.0014086
                     45,                 2.5351,                0.92436,                 2.1369,                0.73556,                0.43877,                0.53093,                  0.283,                 3.4797,                   2.68,                 2.8651,              0.0012088,              0.0012088,              0.0012088
                     46,                 2.4944,                0.90259,                  2.134,                0.75313,                0.46273,                0.54106,                0.29344,                 3.4983,                 2.7814,                 2.9028,               0.001009,               0.001009,               0.001009
                     47,                 2.4631,                 0.8978,                 2.1135,                0.74262,                0.46126,                0.53892,                 0.2882,                 3.4886,                 2.8482,                  2.896,              0.0008092,              0.0008092,              0.0008092
                     48,                 2.4353,                0.88398,                 2.0936,                0.69005,                0.42409,                0.50742,                0.26979,                 3.4966,                 2.8375,                 2.9035,              0.0006094,              0.0006094,              0.0006094
                     49,                 2.3843,                0.86287,                 2.0852,                0.70156,                0.43433,                 0.5298,                0.28411,                 3.5164,                 2.7988,                 2.9253,              0.0004096,              0.0004096,              0.0004096
                     50,                  2.384,                0.85889,                 2.0803,                 0.6841,                0.46268,                0.53634,                0.28501,                  3.496,                 2.8081,                 2.9197,              0.0002098,              0.0002098,              0.0002098
