                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 3.1435,                 1.4363,                 2.3517,                0.68662,                0.36583,                0.41121,                0.20695,                 3.5695,                   2.44,                 2.8483,             0.00018231,             0.00018231,             0.00018231
                     35,                  3.118,                 1.4014,                 2.3677,                0.47049,                0.41093,                0.43684,                 0.2253,                 3.4784,                 2.4308,                 2.8186,              0.0001719,              0.0001719,              0.0001719
                     36,                 3.1108,                 1.4108,                 2.3544,                0.59317,                0.36057,                0.41051,                0.20343,                 3.6367,                 2.5959,                  2.921,             0.00016148,             0.00016148,             0.00016148
                     37,                 3.0973,                 1.3664,                  2.333,                0.69987,                 0.3535,                0.42592,                0.21711,                    3.6,                 2.6173,                 2.8877,             0.00015107,             0.00015107,             0.00015107
                     38,                  3.076,                 1.3631,                 2.3426,                0.69413,                0.34691,                0.40587,                0.19859,                 3.5938,                 2.5022,                 2.9109,             0.00014065,             0.00014065,             0.00014065
                     39,                  3.046,                 1.3256,                 2.3165,                0.59783,                0.36299,                0.43896,                0.21844,                 3.5166,                 2.4217,                  2.825,             0.00013024,             0.00013024,             0.00013024
                     40,                 2.9906,                 1.2979,                  2.301,                0.57734,                0.36157,                0.41029,                0.20048,                 3.5959,                 2.4553,                 2.8856,             0.00011982,             0.00011982,             0.00011982
                     41,                 3.0351,                  1.218,                 2.3591,                0.69724,                0.37117,                0.44308,                0.22465,                  3.569,                 2.5428,                 2.9009,             0.00010941,             0.00010941,             0.00010941
                     42,                  2.995,                 1.2031,                 2.3354,                0.61315,                0.35675,                0.41467,                 0.2052,                 3.5452,                 2.5711,                 2.8627,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     43,                 2.9537,                 1.1746,                 2.3344,                0.69729,                 0.3507,                 0.4234,                0.21068,                 3.5505,                 2.5878,                 2.8734,             8.8578e-05,             8.8578e-05,             8.8578e-05
                     44,                 2.9486,                  1.166,                 2.3187,                0.62602,                0.33584,                0.41385,                0.21407,                 3.5458,                 2.5574,                 2.8641,             7.8164e-05,             7.8164e-05,             7.8164e-05
                     45,                  2.917,                 1.1524,                 2.2951,                 0.5373,                0.39876,                0.43825,                0.21126,                  3.557,                 2.5519,                 2.8828,             6.7749e-05,             6.7749e-05,             6.7749e-05
                     46,                 2.8894,                 1.1373,                 2.2867,                  0.621,                0.37216,                0.42034,                0.21461,                 3.5232,                 2.5572,                 2.8464,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     47,                 2.8802,                 1.1307,                 2.2822,                0.70613,                0.38769,                0.44403,                0.21901,                 3.5317,                 2.5534,                 2.8671,             4.6919e-05,             4.6919e-05,             4.6919e-05
                     48,                 2.8418,                 1.0998,                 2.2705,                0.73115,                0.38888,                0.43865,                0.21538,                 3.5719,                 2.5458,                 2.9051,             3.6504e-05,             3.6504e-05,             3.6504e-05
                     49,                 2.8218,                 1.0927,                 2.2735,                0.72863,                0.36486,                0.42602,                0.20881,                 3.5705,                 2.5627,                  2.897,              2.609e-05,              2.609e-05,              2.609e-05
                     50,                 2.8067,                 1.0821,                 2.2559,                0.70882,                0.37204,                0.43117,                0.20889,                 3.5871,                 2.5994,                 2.9041,             1.5675e-05,             1.5675e-05,             1.5675e-05
