                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 3.1439,                 1.4454,                 2.3789,                0.53261,                0.37755,                0.45603,                0.22768,                 3.6242,                 2.5389,                 2.9059,             0.00017919,             0.00017919,             0.00017919
                     35,                 3.0999,                 1.3979,                 2.3659,                0.65059,                0.40569,                0.47197,                0.24047,                 3.6509,                 2.7062,                 2.9143,             0.00016868,             0.00016868,             0.00016868
                     36,                   3.09,                 1.4086,                 2.3478,                 0.5513,                 0.3854,                0.46169,                0.23695,                 3.5834,                 2.6222,                 2.8683,             0.00015817,             0.00015817,             0.00015817
                     37,                 3.0655,                 1.3751,                 2.3338,                0.61422,                0.41347,                 0.5298,                0.26859,                 3.5211,                 2.6322,                 2.8131,             0.00014766,             0.00014766,             0.00014766
                     38,                 3.0518,                 1.3557,                 2.3447,                 0.6029,                0.36327,                0.44621,                0.22633,                 3.5517,                  2.586,                 2.8615,             0.00013715,             0.00013715,             0.00013715
                     39,                 3.0343,                 1.3397,                 2.3365,                 0.6736,                0.34768,                0.43862,                0.22733,                  3.532,                 2.6886,                 2.8369,             0.00012664,             0.00012664,             0.00012664
                     40,                 3.0161,                 1.3341,                 2.3206,                0.52782,                0.35199,                 0.4551,                0.22794,                 3.5665,                 2.5295,                 2.8633,             0.00011613,             0.00011613,             0.00011613
                     41,                 3.0111,                 1.2199,                 2.3598,                0.69279,                0.38431,                0.48737,                0.23914,                 3.5727,                 2.5113,                 2.8495,             0.00010562,             0.00010562,             0.00010562
                     42,                 2.9862,                 1.1923,                 2.3375,                0.50787,                 0.3714,                0.45116,                0.22697,                 3.6279,                 2.5193,                 2.8927,             9.5111e-05,             9.5111e-05,             9.5111e-05
                     43,                 2.9558,                 1.1832,                 2.3293,                0.51324,                0.37941,                0.44947,                 0.2247,                 3.5711,                 2.5979,                  2.886,             8.4602e-05,             8.4602e-05,             8.4602e-05
                     44,                 2.9388,                 1.1762,                 2.3368,                0.50612,                0.39522,                0.46509,                0.23664,                  3.557,                 2.5766,                 2.8519,             7.4092e-05,             7.4092e-05,             7.4092e-05
                     45,                 2.8925,                 1.1395,                 2.3188,                0.55635,                 0.4263,                0.47886,                0.24357,                 3.5183,                 2.5824,                 2.8538,             6.3583e-05,             6.3583e-05,             6.3583e-05
                     46,                 2.8882,                 1.1348,                 2.3098,                0.64809,                 0.3556,                 0.4461,                0.22177,                 3.5643,                 2.6807,                 2.8891,             5.3073e-05,             5.3073e-05,             5.3073e-05
                     47,                 2.8669,                 1.1315,                 2.3038,                0.54541,                0.43565,                0.46644,                0.23141,                 3.5172,                 2.6242,                  2.846,             4.2564e-05,             4.2564e-05,             4.2564e-05
                     48,                 2.8417,                 1.1121,                 2.2787,                0.60664,                0.37158,                0.43492,                0.21664,                 3.5654,                 2.6519,                 2.8716,             3.2054e-05,             3.2054e-05,             3.2054e-05
                     49,                 2.8228,                 1.0919,                 2.2716,                0.51233,                0.41163,                0.45268,                 0.2267,                 3.5889,                 2.6449,                 2.8848,             2.1545e-05,             2.1545e-05,             2.1545e-05
                     50,                 2.8036,                  1.092,                 2.2818,                0.52187,                0.40851,                0.45192,                0.22782,                 3.5972,                 2.6713,                 2.8959,             1.1035e-05,             1.1035e-05,             1.1035e-05
