                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 3.1439,                 1.4454,                 2.3789,                0.68256,                0.36258,                0.46092,                0.22981,                 3.6137,                 2.4936,                 2.9062,             0.00017919,             0.00017919,             0.00017919
                     35,                 3.0999,                 1.3979,                 2.3659,                0.64619,                0.40569,                0.47329,                0.24154,                 3.6533,                 2.6179,                 2.9274,             0.00016868,             0.00016868,             0.00016868
                     36,                   3.09,                 1.4086,                 2.3478,                0.58055,                0.36769,                0.46633,                0.23963,                 3.5863,                 2.5318,                 2.8753,             0.00015817,             0.00015817,             0.00015817
                     37,                 3.0655,                 1.3751,                 2.3338,                0.61849,                0.40961,                0.52992,                0.26864,                 3.5052,                 2.5343,                 2.8215,             0.00014766,             0.00014766,             0.00014766
                     38,                 3.0518,                 1.3557,                 2.3447,                0.60087,                0.35863,                0.44637,                0.22674,                 3.5353,                 2.4961,                 2.8674,             0.00013715,             0.00013715,             0.00013715
                     39,                 3.0343,                 1.3397,                 2.3365,                0.66122,                0.35239,                 0.4406,                0.22937,                 3.5332,                 2.6035,                 2.8539,             0.00012664,             0.00012664,             0.00012664
                     40,                 3.0161,                 1.3341,                 2.3206,                0.53963,                0.34799,                0.45591,                0.22738,                 3.5336,                 2.4654,                 2.8535,             0.00011613,             0.00011613,             0.00011613
                     41,                 3.0111,                 1.2199,                 2.3598,                0.70251,                0.37635,                0.48636,                0.23884,                 3.5473,                 2.4458,                 2.8469,             0.00010562,             0.00010562,             0.00010562
                     42,                 2.9862,                 1.1923,                 2.3375,                0.50787,                 0.3714,                0.45009,                0.22604,                 3.5997,                 2.4749,                 2.8873,             9.5111e-05,             9.5111e-05,             9.5111e-05
                     43,                 2.9558,                 1.1832,                 2.3293,                0.51918,                 0.3809,                0.45102,                0.22373,                 3.5661,                 2.5475,                 2.8917,             8.4602e-05,             8.4602e-05,             8.4602e-05
                     44,                 2.9388,                 1.1762,                 2.3368,                0.48508,                0.41613,                0.46561,                0.23647,                 3.5458,                 2.4965,                 2.8628,             7.4092e-05,             7.4092e-05,             7.4092e-05
                     45,                 2.8925,                 1.1395,                 2.3188,                0.55485,                0.42509,                0.47957,                0.24361,                 3.5114,                 2.5227,                 2.8615,             6.3583e-05,             6.3583e-05,             6.3583e-05
                     46,                 2.8882,                 1.1348,                 2.3098,                0.61136,                0.37074,                0.44526,                0.22261,                 3.5538,                 2.6151,                 2.9006,             5.3073e-05,             5.3073e-05,             5.3073e-05
                     47,                 2.8669,                 1.1315,                 2.3038,                0.54541,                0.43565,                0.46649,                 0.2316,                 3.5213,                 2.5607,                 2.8639,             4.2564e-05,             4.2564e-05,             4.2564e-05
                     48,                 2.8417,                 1.1121,                 2.2787,                0.60903,                0.36991,                0.43595,                0.21631,                  3.564,                 2.6007,                 2.8914,             3.2054e-05,             3.2054e-05,             3.2054e-05
                     49,                 2.8228,                 1.0919,                 2.2716,                0.51091,                0.41123,                0.45379,                0.22852,                 3.5696,                 2.5858,                 2.8924,             2.1545e-05,             2.1545e-05,             2.1545e-05
                     50,                 2.8036,                  1.092,                 2.2818,                0.53362,                0.39593,                0.45169,                0.22872,                 3.5781,                 2.6188,                 2.9032,             1.1035e-05,             1.1035e-05,             1.1035e-05
